Wall time,Step,Value
1726546529.8661256,0,nan
1726546530.8832,0,nan
1726546531.0162103,0,nan
1726546532.113297,0,nan
1726546533.089376,0,nan
1726546535.678561,0,nan
1726546535.8085706,0,nan
1726546536.2016013,0,nan
1726547138.3355432,1,nan
1726547138.5385602,1,nan
1726547139.4016316,1,nan
1726547140.1306782,1,nan
1726547141.6107898,1,nan
1726547141.6997964,1,nan
1726547142.0288215,1,nan
1726547143.2879167,1,nan
1726547144.1799824,1,nan
1726547743.3058965,2,nan
1726547744.941019,2,nan
1726547745.5490665,2,nan
1726547748.158262,2,nan
1726547749.2903464,2,nan
1726547749.9753973,2,nan
1726547750.2654188,2,nan
1726547750.3114238,2,nan
1726548353.6430836,3,nan
1726548354.1781166,3,nan
1726548354.7711608,3,nan
1726548355.186192,3,nan
1726548357.0933347,3,nan
1726548357.4253607,3,nan
1726548359.2654994,3,nan
1726548359.4365158,3,nan
1726548359.5295203,3,nan
1726548360.1335638,3,nan
1726548360.2205696,3,nan
1726548360.516593,3,nan
1726548360.8546176,3,nan
1726548361.1056376,3,nan
1726548960.682961,4,nan
1726548965.386313,4,nan
1726548966.494397,4,nan
1726548966.5343993,4,nan
1726548966.7974207,4,nan
1726548967.062439,4,nan
1726548967.8234956,4,nan
1726548967.9605062,4,nan
1726548968.3485353,4,nan
1726549570.0407245,5,nan
1726549570.1957371,5,nan
1726549571.358823,5,nan
1726549571.6008408,5,nan
1726549571.816857,5,nan
1726549574.0370262,5,nan
1726549574.2450404,5,nan
1726549574.2840426,5,nan
1726549575.031103,5,nan
1726549575.5921452,5,nan
1726549577.8703141,5,nan
1726550174.1189687,6,nan
1726550176.4121408,6,nan
1726550176.5311518,6,nan
1726550177.1391964,6,nan
1726550177.3092089,6,nan
1726550179.290358,6,nan
1726550179.579379,6,nan
1726550180.4954495,6,nan
1726550180.9994874,6,nan
1726550181.419519,6,nan
1726550774.1333177,7,nan
1726550774.6013548,7,nan
1726550775.1834006,7,nan
1726550776.5144985,7,nan
1726550777.7065861,7,nan
1726550778.366636,7,nan
1726550779.0296886,7,nan
1726550779.1936996,7,nan
1726550779.9147527,7,nan
1726550781.375864,7,nan
1726551376.3839152,8,nan
1726551376.7549458,8,nan
1726551377.4970002,8,nan
1726551377.8760273,8,nan
1726551378.4580712,8,nan
1726551378.5430768,8,nan
1726551378.676088,8,nan
1726551380.5092258,8,nan
1726551382.4063687,8,nan
1726551383.1564245,8,nan
1726551383.5174525,8,nan
1726551384.0624924,8,nan
1726551384.1925018,8,nan
1726551384.493524,8,nan
1726551976.6347935,9,nan
1726551977.3448472,9,nan
1726551977.7728798,9,nan
1726551977.908889,9,nan
1726551980.1410573,9,nan
1726551980.6270947,9,nan
1726551981.5971668,9,nan
1726551983.3342974,9,nan
1726551983.6393209,9,nan
1726551983.7753308,9,nan
1726552575.7529678,10,nan
1726552577.9711344,10,nan
1726552578.2571545,10,nan
1726552579.5462506,10,nan
1726552579.714266,10,nan
1726552580.039289,10,nan
1726552580.5553274,10,nan
1726552581.3793917,10,nan
1726552581.5864053,10,nan
1726552581.6274123,10,nan
1726552582.4614713,10,nan
1726552582.6674874,10,nan
1726552584.0675929,10,nan
1726553178.2065828,11,nan
1726553178.6986206,11,nan
1726553179.7847013,11,nan
1726553180.1637292,11,nan
1726553181.6658425,11,nan
1726553181.704846,11,nan
1726553181.7828522,11,nan
1726553183.6619928,11,nan
1726553184.3950474,11,nan
1726553184.4790537,11,nan
1726553184.68907,11,nan
1726553185.729148,11,nan
1726553185.773151,11,nan
1726553186.1971838,11,nan
1726553186.2791898,11,nan
1726553186.4592028,11,nan
1726553779.246169,12,nan
1726553779.4941864,12,nan
1726553779.863212,12,nan
1726553780.4792593,12,nan
1726553780.7222762,12,nan
1726553786.2896957,12,nan
1726553787.0397515,12,nan
1726554382.5662796,13,nan
1726554383.1553245,13,nan
1726554384.6154344,13,nan
1726554388.0866942,13,nan
1726554389.0787687,13,nan
1726554985.0055473,14,nan
1726554985.3385732,14,nan
1726554986.8426862,14,nan
1726554987.97577,14,nan
1726554988.1157823,14,nan
1726554990.5579655,14,nan
1726555586.0245926,15,nan
1726555587.4376884,15,nan
1726555587.4786904,15,nan
1726555588.8957973,15,nan
1726555589.3168297,15,nan
1726555589.4378378,15,nan
1726555589.4768457,15,nan
1726555589.554847,15,nan
1726555589.5958498,15,nan
1726555592.0480332,15,nan
1726556186.1554508,16,nan
1726556187.412545,16,nan
1726556188.5526304,16,nan
1726556188.7536495,16,nan
1726556189.6797163,16,nan
1726556190.4817765,16,nan
1726556191.1068223,16,nan
1726556191.7848732,16,nan
1726556193.2129822,16,nan
1726556795.378679,17,nan
1726556796.1217363,17,nan
1726556796.2007399,17,nan
1726556796.5487657,17,nan
1726556797.6948524,17,nan
1726556798.303901,17,nan
1726556800.688077,17,nan
1726556800.8680902,17,nan
1726556801.3371255,17,nan
